str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,brazilian,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,czech,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,french,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,german,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,italian,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,japanese,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,polish,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,russian,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,schinese,
str_inventory_description_supplySPSR_mental_herb,SPSR_mental_herb,spanish,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,brazilian,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,czech,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,french,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,german,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,italian,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,japanese,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,polish,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,russian,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,schinese,
str_inventory_title_supplySPSR_mental_herb,SPSR_mental_herb,spanish,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,brazilian,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,czech,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,french,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,german,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,italian,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,japanese,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,polish,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,russian,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,schinese,
str_inventory_description_supplySPSR_undying_herb,SPSR_undying_herb,spanish,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,brazilian,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,czech,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,french,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,german,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,italian,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,japanese,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,polish,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,russian,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,schinese,
str_inventory_title_supplySPSR_undying_herb,SPSR_undying_herb,spanish,
